t_mid_unix,clock_offset_s,se_s,n,mad_s
1684387800,13.783,1.777,25,8.883
1684391400,11.312,3.060,17,12.615
1684402200,16.987,1.364,20,6.099
1684405800,21.021,0.637,46,4.319
1684416600,20.781,0.903,65,7.279
1684420200,25.135,0.539,72,4.574
1684423800,20.923,0.243,81,2.190
1684427400,22.264,0.381,94,3.692
1684431000,17.778,0.729,74,6.271
1684434600,27.998,0.774,74,6.657
1684438200,26.455,2.042,35,12.079
1684441800,43.285,1.428,30,7.820
1684445400,57.448,1.557,33,8.942
1684449000,64.512,1.869,32,10.571
1684474200,17.321,0.826,29,4.450
1684477800,32.577,0.501,55,3.714
1684481400,40.333,1.342,11,4.449
1684499400,38.185,0.939,15,3.636
1684513800,26.018,1.262,31,7.025
1684517400,31.788,1.244,43,8.159
1684524600,26.322,0.491,37,2.986
1684528200,50.153,2.151,31,11.977
1684531800,42.963,0.609,88,5.716
1684535400,38.772,1.239,14,4.634
1684539000,28.793,0.671,31,3.738
1684546200,9.613,0.996,35,5.895
1684553400,31.705,2.000,26,10.197
1684567800,46.510,1.006,18,4.270
1684571400,31.712,0.973,21,4.458
1684582200,39.510,3.222,9,9.666
1684585800,41.572,2.190,24,10.728
1684589400,40.172,1.605,9,4.815
1684593000,18.666,0.941,66,7.643
1684596600,19.961,1.603,9,4.809
1684600200,18.969,0.498,9,1.495
1684603800,17.527,0.772,87,7.199
1684607400,13.631,1.657,81,14.917
1684611000,17.209,2.669,78,23.570
1684614600,37.544,1.047,71,8.818
1684625400,39.997,1.068,56,7.995
1684629000,35.954,0.684,59,5.255
1684632600,30.290,2.328,22,10.918
1684636200,24.031,0.742,81,6.677
1684639800,24.175,0.639,111,6.732
1684643400,45.373,1.989,105,20.385
1684647000,27.953,1.484,90,14.076
1684650600,61.126,1.285,44,8.523
1684654200,27.085,2.494,39,15.573
1684679400,22.544,0.298,43,1.957
1684683000,25.541,1.129,52,8.144
1684686600,41.428,1.280,32,7.239
1684690200,22.624,0.867,43,5.686
1684693800,48.943,2.246,11,7.449
1684697400,29.444,0.608,61,4.747
1684701000,29.362,0.526,50,3.716
1684704600,26.340,0.611,53,4.445
1684708200,25.412,0.175,79,1.553
1684711800,25.171,0.410,29,2.205
1684719000,3.992,1.593,59,12.237
1684722600,35.845,4.121,49,28.848
1684726200,30.451,1.158,23,5.555
1684729800,63.953,2.429,42,15.739
1684733400,30.684,1.481,97,14.588
1684737000,22.499,1.690,8,4.781
1684740600,23.625,0.297,32,1.682
1684744200,21.741,0.240,79,2.135
1684747800,26.390,0.523,63,4.150
1684751400,19.629,0.317,98,3.141
1684762200,26.367,1.018,26,5.191
1684765800,26.866,0.409,109,4.270
1684769400,20.564,0.243,80,2.174
1684773000,29.541,0.371,44,2.458
1684776600,24.277,1.184,70,9.907
1684780200,21.157,0.537,51,3.834
1684783800,31.626,0.339,79,3.012
1684787400,25.498,1.426,74,12.266
1684791000,20.912,0.639,71,5.388
1684794600,21.641,1.877,18,7.964
1684798200,30.839,1.247,13,4.498
1684801800,32.943,2.536,7,6.709
1684809000,42.209,1.111,49,7.779
1684812600,39.933,3.398,60,26.323
1684816200,20.151,0.287,50,2.027
1684819800,31.563,1.339,52,9.654
1684823400,24.265,0.896,49,6.271
1684827000,30.694,0.589,32,3.334
1684830600,32.983,1.180,100,11.802
1684834200,30.913,2.055,87,19.164
1684837800,35.020,3.041,68,25.077
1684841400,20.389,0.428,27,2.222
1684848600,24.894,1.817,33,10.437
1684852200,26.495,4.203,7,11.119
1684855800,35.521,3.923,23,18.815
1684859400,23.893,2.300,41,14.727
1684863000,43.087,3.717,59,28.548
1684866600,28.431,0.814,64,6.514
1684870200,30.152,0.457,8,1.294
