file,t,lat,lon,sog,vx,vy,rng_true,brg_true,cell_m,word_c,range_c,rng_obs,brg_obs,nblob,az_ext,r_ext,compact
20230518053242.pol,1684387962,7.0029045,134.1167629,0.850,-0.753,0.497,10206.0,339.967,14.9355,7306.34,682.39,10191.8,340.080,35,9,6,1
20230518053312.pol,1684387992,7.0030381,134.1165603,1.054,-0.736,0.484,10227.6,339.878,14.9355,7301.18,683.83,10213.4,339.853,66,13,6,1
20230518053342.pol,1684388022,7.0031710,134.1163610,0.923,-0.722,0.460,10249.1,339.790,14.9355,7301.34,685.22,10234.1,339.860,64,12,6,1
20230518053412.pol,1684388052,7.0033089,134.1161660,0.878,-0.713,0.516,10271.0,339.707,14.9355,7299.29,686.86,10258.5,339.769,70,14,6,1
20230518053442.pol,1684388082,7.0034489,134.1159737,0.803,-0.702,0.528,10293.0,339.626,14.9355,7293.15,688.00,10275.6,339.500,52,9,6,1
20230518053512.pol,1684388112,7.0035905,134.1157837,0.828,-0.700,0.523,10315.1,339.547,14.9355,7294.87,689.58,10299.2,339.575,62,11,7,1
20230518053542.pol,1684388142,7.0037282,134.1155952,0.961,-0.702,0.483,10336.7,339.469,14.9355,7299.20,691.22,10323.7,339.766,90,18,7,1
20230518053613.pol,1684388173,7.0038706,134.1154036,0.834,-0.685,0.545,10359.0,339.390,14.9355,7293.75,692.87,10348.3,339.526,57,11,6,1
20230518053643.pol,1684388203,7.0040087,134.1152190,0.803,-0.684,0.513,10380.6,339.315,14.9355,7285.73,694.10,10366.7,339.174,60,15,6,1
20230518053713.pol,1684388233,7.0041451,134.1150328,0.829,-0.691,0.505,10402.1,339.238,14.9355,7289.05,695.18,10382.9,339.319,63,12,6,1
20230518053743.pol,1684388263,7.0042811,134.1148438,0.845,-0.700,0.466,10423.6,339.160,14.9355,7295.04,696.86,10407.9,339.583,25,7,6,1
20230518053813.pol,1684388293,7.0044068,134.1146528,0.975,-0.704,0.398,10444.2,339.079,14.9355,7285.59,698.17,10427.5,339.168,64,17,6,1
20230518053843.pol,1684388323,7.0045260,134.1144607,0.828,-0.716,0.447,10464.2,338.997,14.9355,7284.54,699.63,10449.4,339.121,67,14,6,1
20230518053913.pol,1684388353,7.0046484,134.1142670,0.846,-0.711,0.450,10484.6,338.914,14.9355,7282.28,701.23,10473.3,339.022,64,14,6,1
20230518053943.pol,1684388383,7.0047742,134.1140726,0.941,-0.722,0.448,10505.4,338.832,14.9355,7282.71,702.27,10488.7,339.041,56,10,7,1
20230518054013.pol,1684388413,7.0048792,134.1138762,0.899,-0.731,0.439,10524.2,338.745,14.9355,7280.30,703.69,10509.9,338.935,74,14,7,1
20230518054044.pol,1684388444,7.0050192,134.1136697,0.925,-0.760,0.513,10547.0,338.660,14.9355,7278.94,705.06,10530.3,338.875,72,14,6,1
20230518054114.pol,1684388474,7.0051681,134.1134649,0.985,-0.755,0.543,10570.7,338.579,14.9355,7274.74,706.92,10558.1,338.691,84,16,7,1
20230518054144.pol,1684388504,7.0053169,134.1132556,0.898,-0.770,0.554,10594.5,338.495,14.9355,7273.88,708.54,10582.3,338.653,82,20,7,1
20230518054214.pol,1684388534,7.0054703,134.1130439,0.953,-0.791,0.550,10619.0,338.411,14.9355,7272.65,710.05,10604.9,338.599,80,17,6,1
20230518054244.pol,1684388564,7.0056282,134.1128288,0.986,-0.798,0.547,10644.1,338.327,14.9355,7265.25,711.81,10631.3,338.274,67,12,7,1
20230518054314.pol,1684388594,7.0057704,134.1126108,1.008,-0.808,0.500,10667.7,338.238,14.9355,7264.03,713.30,10653.5,338.220,71,12,7,1
20230518054344.pol,1684388624,7.0059070,134.1123888,1.011,-0.825,0.513,10691.0,338.146,14.9355,7263.89,714.75,10675.1,338.214,72,12,7,1
20230518054414.pol,1684388654,7.0060420,134.1121638,0.969,-0.835,0.498,10714.2,338.053,14.9355,7258.88,716.59,10702.6,337.994,80,14,7,1
20230518054444.pol,1684388684,7.0061839,134.1119359,1.046,-0.848,0.522,10738.3,337.960,14.9355,7267.17,717.94,10722.8,338.358,111,24,6,0
